127.0.0.1 - - [14/Aug/2017:13:49:41 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:49:42 +0530] "GET /FitnessTracker/WEB-INF/classes/com/pluralsight/controller/GoalController.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:00 +0530] "GET /FitnessTracker/WEB-INF/classes/com/pluralsight/controller/GoalController.java HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:00 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:28 +0530] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:29 +0530] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:29 +0530] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:29 +0530] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:29 +0530] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/ HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/assets/css/bootstrap-responsive.css HTTP/1.1" 200 21709
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/assets/js/bootstrap.js HTTP/1.1" 200 56478
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/jquery-1.8.3.js HTTP/1.1" 200 266057
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:37 +0530] "GET /FitnessTracker/assets/ico/favicon.ico HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:42 +0530] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:47 +0530] "POST /FitnessTracker/addGoal.html HTTP/1.1" 200 2893
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:50:59 +0530] "POST /FitnessTracker/addGoal.html HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:08 +0530] "POST /FitnessTracker/addGoal.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:08 +0530] "GET /FitnessTracker/index.jsp HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:12 +0530] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:12 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:29 +0530] "POST /FitnessTracker/addMinutes.html HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:29 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:38 +0530] "POST /FitnessTracker/addMinutes.html HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:38 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:42 +0530] "POST /FitnessTracker/addMinutes.html HTTP/1.1" 200 3321
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:42 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:45 +0530] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:45 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:51 +0530] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:51 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:51 +0530] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:51 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:53 +0530] "GET /FitnessTracker/addMinutes.html?language=es HTTP/1.1" 200 3348
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:53 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:56 +0530] "GET /FitnessTracker/addMinutes.html?language=en HTTP/1.1" 200 3332
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:51:56 +0530] "GET /FitnessTracker/activities.json?ajax=true HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:52:01 +0530] "GET /FitnessTracker/addMinutes.html HTTP/1.1" 200 3320
0:0:0:0:0:0:0:1 - - [14/Aug/2017:13:52:06 +0530] "GET /FitnessTracker/addGoal.html HTTP/1.1" 200 2404
